Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;RR;0.001080308;0.001080308;0.00126397;0.001452172;0.001623379;0.001894774;0.002296052;0.002616974;0.002936669;0.003232515;0.003501403;0.003738632
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;PA;0.034134493;0.034134493;0.040359081;0.046992412;0.049346719;0.050624081;0.05828201;0.062697873;0.067071649;0.07091453;0.0742157;0.076921456
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;AP;8.08328E-05;8.08328E-05;8.80143E-05;0.0001159;9.81184E-05;6.29415E-05;9.13049E-05;8.7365E-05;8.33274E-05;7.86748E-05;7.35887E-05;6.81757E-05
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;TO;0.01576689;0.01576689;0.016876204;0.018170758;0.01994193;0.020179333;0.021280118;0.022141292;0.022984904;0.023649665;0.02414535;0.02446556
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;MA;0.014061499;0.014061499;0.015676189;0.018055471;0.019782229;0.018749148;0.02085688;0.021664244;0.022454288;0.02306977;0.023520941;0.023802175
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;PI;0.004124724;0.004124724;0.004345342;0.004601438;0.004032197;0.005369103;0.005994057;0.006748189;0.007498869;0.008188962;0.008811874;0.009356809
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;CE;0.005723706;0.005723706;0.006637181;0.006929604;0.005161848;0.007766957;0.00789068;0.008676553;0.009457277;0.010162372;0.010786939;0.011320399
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;RN;0.00273699;0.00273699;0.002435635;0.002083986;0.00134659;0.002829538;0.002919395;0.00340683;0.003892935;0.004347133;0.004764019;0.00513622
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;PB;0.003504516;0.003504516;0.003146781;0.003076833;0.001914931;0.00343339;0.00410714;0.004818293;0.00552765;0.006191612;0.006802109;0.007348325
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;PE;0.007085941;0.007085941;0.006705337;0.006119649;0.00374889;0.007045978;0.007136288;0.008128065;0.009116006;0.010029941;0.010860302;0.011592582
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;AL;0.004972229;0.004972229;0.004639241;0.004206427;0.003737092;0.004211347;0.003874077;0.00382916;0.003780456;0.003703217;0.003602909;0.003481912
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;SE;0.00375304;0.00375304;0.003534347;0.00335872;0.002938943;0.003277255;0.00302155;0.00298577;0.002947035;0.00288606;0.002807119;0.002712085
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;BA;0.040215185;0.040215185;0.039830502;0.039047658;0.034275604;0.040135459;0.039019252;0.040414836;0.041777681;0.042816247;0.043551809;0.04397586
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;MG;0.073893121;0.073893121;0.068452466;0.06474006;0.057713603;0.062364585;0.055520816;0.053479384;0.051379598;0.048898764;0.046140738;0.043164231
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;ES;0.008830726;0.008830726;0.007701475;0.00595332;0.005193805;0.006747894;0.006140985;0.006206535;0.006266483;0.006278469;0.006248658;0.006178421
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;RJ;0.006371917;0.006371917;0.006072584;0.005728894;0.005889212;0.005708471;0.005725699;0.005686745;0.005642274;0.005555083;0.005432746;0.005278303
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;SP;0.026568141;0.026568141;0.020982865;0.016318732;0.014960122;0.012589897;0.010933379;0.009023309;0.007097341;0.005126432;0.003158589;0.00123189
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;PR;0.014192807;0.014192807;0.012180566;0.009346328;0.006341187;0.006335424;0.004728134;0.003563008;0.002390015;0.001204356;3.2986E-05;0
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;SC;0.002872167;0.002872167;0.002825068;0.001875587;0.001251254;0.001517776;0.001321126;0.001243213;0.001163825;0.001075956;0.000982612;0.000885707
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;RS;0.00192409;0.00192409;0.001511011;0.001097995;0.000519728;0.000677795;0.000530424;0.000428793;0.000326364;0.000221934;0.000117995;1.65528E-05
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;MS;0.047051742;0.047051742;0.04451349;0.042200791;0.04228048;0.036731907;0.034795437;0.031515271;0.028192686;0.024671226;0.021052533;0.017408584
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;MT;0.047600894;0.047600894;0.052605101;0.053308386;0.056633479;0.055840826;0.057168674;0.057558513;0.057895548;0.057790496;0.057304763;0.056454988
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;GO;0.044451368;0.044451368;0.041816123;0.04014253;0.039260533;0.037207349;0.034431523;0.032107574;0.029744346;0.027165923;0.024456041;0.021669713
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;DF;0.00022054;0.00022054;0.000177222;0.000151096;0.000180665;0.000197194;0.000202248;0.00021539;0.000228379;0.000239569;0.000248963;0.000256413
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;RO;0.011975006;0.011975006;0.019553182;0.016456837;0.021868252;0.019839686;0.019429065;0.019251119;0.01905432;0.018713471;0.018255114;0.017690361
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;AC;0.005025557;0.005025557;0.006597018;0.007605543;0.00950431;0.010621494;0.012006961;0.013348686;0.014683002;0.015899325;0.016987533;0.017928966
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;AM;0.002726124;0.002726124;0.003817226;0.004535363;0.005743618;0.008410988;0.010784608;0.013094774;0.015401516;0.017580223;0.019601614;0.021429497
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;RR;0.00112972;0.00112972;0.001640771;0.002076932;0.002153631;0.002835813;0.002942174;0.003274301;0.003604623;0.003905964;0.004175785;0.004409453
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;PA;0.027930913;0.027930913;0.042244433;0.049680682;0.052011218;0.063952485;0.065120267;0.070183957;0.075201;0.079622271;0.083433312;0.08657184
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;AP;6.78335E-05;6.78335E-05;5.6448E-05;8.74869E-05;0.000106839;0.000123701;0.000148816;0.000170183;0.000191472;0.000211204;0.000229167;0.000245046
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;TO;0.011540737;0.011540737;0.012760311;0.013872778;0.015729986;0.0181085;0.017940082;0.018902128;0.019850058;0.020642498;0.021283376;0.021763148
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;MA;0.012644965;0.012644965;0.015433167;0.018331945;0.020874743;0.026484992;0.027224845;0.029991478;0.032740508;0.035227498;0.037434534;0.039324153
Pasture condition dynamics;A;Current trends (BAU);Well-managed pasture;PI;0.002404873;0.002404873;0.002407824;0.001998896;0.001805644;0.004007465;0.004880669;0.006124108;0.007366575;0.008547148;0.009648959;0.010652148
